Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Company_Type,Work_Experience_Years,Monthly_Income,Annual_Income,Existing_Loans,Existing_EMI,Credit_Score,Credit_History,Bank_Balance,Loan_Amount_Requested,Loan_Purpose,Loan_Term_Years,Interest_Rate,Loan_Status
59,Male,Single,3,Graduate,Self Employed,Private,1,231001,1993451,2,801,450,Bad,4578073,2790061,Car,29,11.83,0
49,Female,Single,4,Graduate,Salaried,Business,15,38735,1610795,3,37773,782,Good,3794806,2790685,Home,24,10.63,0
35,Female,Married,4,Graduate,Self Employed,Private,33,170501,585473,2,34265,531,Good,3027412,2618548,Business,20,10.61,1
28,Female,Married,2,Graduate,Salaried,Government,10,63310,1260791,4,17764,564,Good,1509061,3855438,Business,9,9.29,0
41,Male,Single,0,Graduate,Self Employed,Business,18,47534,1904148,3,26078,760,Good,1644242,2171444,Home,26,17.66,0
59,Male,Married,3,Post Graduate,Self Employed,Government,29,261223,3321418,1,30702,671,Good,2447114,1602287,Car,20,12.38,1
39,Male,Married,0,High School,Self Employed,Government,6,209915,1455861,4,9509,420,Good,2997107,4523951,Business,16,12.83,0
43,Female,Married,1,High School,Self Employed,Government,26,198168,2156873,0,23087,342,Good,3102835,183756,Home,9,14.82,1
31,Female,Married,4,Post Graduate,Self Employed,Private,21,52769,2829636,4,48554,429,Good,1215483,1641625,Car,16,11.49,0
31,Male,Married,4,Post Graduate,Self Employed,Private,16,109934,317252,4,16411,538,Good,2708895,462712,Car,10,10.07,0
44,Male,Married,5,Graduate,Salaried,Government,14,36060,2281866,2,5032,749,Good,3898506,4312200,Personal,7,10.22,1
56,Female,Married,0,Graduate,Salaried,Government,8,139847,3545387,1,25835,740,Good,4271951,4306473,Business,19,10.83,1
60,Female,Married,1,High School,Salaried,Business,11,34276,2305668,3,37351,614,Good,4179596,4084237,Business,7,13.34,0
44,Female,Married,5,Graduate,Salaried,Government,7,104024,2458501,4,11191,538,Good,2893676,1009304,Home,20,16.14,0
23,Female,Single,5,High School,Salaried,Private,1,298015,1217120,2,46457,706,Good,4934473,2253360,Home,16,9.67,1
42,Male,Single,2,Graduate,Salaried,Government,15,247011,1474191,4,31307,488,Bad,199341,178439,Personal,24,13.42,0
22,Female,Single,5,Graduate,Self Employed,Government,2,94185,1717367,1,2010,883,Bad,2993465,3997670,Home,6,15.26,1
44,Female,Married,5,High School,Self Employed,Business,30,290876,1204653,3,36160,789,Good,2863312,237356,Personal,8,17.94,1
50,Male,Married,2,Post Graduate,Self Employed,Government,25,293499,1477399,2,19515,556,Bad,4195162,1144033,Education,16,16.98,1
58,Male,Married,4,Post Graduate,Salaried,Business,1,169276,919949,4,20704,307,Good,4201897,2913499,Personal,25,14.12,0
22,Female,Single,4,Graduate,Self Employed,Business,29,137074,3451799,1,26052,794,Good,124358,132749,Education,4,17.42,1
41,Male,Single,3,Post Graduate,Salaried,Government,12,56210,2071276,0,12339,862,Bad,4939336,515977,Personal,7,17.34,1
53,Female,Married,5,Graduate,Salaried,Government,13,216202,911997,0,7780,665,Good,957279,4294963,Education,15,7.49,1
32,Female,Single,0,Post Graduate,Salaried,Private,0,80150,1635531,1,8923,463,Good,130283,313683,Business,8,14.16,0
42,Male,Single,4,Post Graduate,Self Employed,Private,31,147231,2465558,3,14585,499,Good,3748363,2002109,Personal,18,14.16,0
45,Male,Married,1,High School,Self Employed,Business,5,126424,3362949,4,26323,771,Bad,2961948,2850228,Car,4,14.44,1
47,Female,Married,0,Post Graduate,Salaried,Business,21,76417,1065078,4,22951,390,Bad,3802976,1996809,Personal,24,17.32,0
48,Male,Single,3,Graduate,Self Employed,Private,10,295501,768872,1,18473,584,Good,4634757,3532397,Home,2,10.16,1
36,Female,Married,5,High School,Self Employed,Business,22,180787,2168980,4,38308,381,Good,4791356,2560071,Business,14,9.6,0
35,Female,Single,2,Post Graduate,Salaried,Private,13,214799,1701359,3,41939,500,Good,69983,265902,Business,28,12.28,0
23,Female,Single,3,High School,Self Employed,Business,13,123459,1476269,1,46486,554,Bad,4084841,3884486,Home,22,10.34,1
57,Male,Single,0,Post Graduate,Self Employed,Private,19,209227,2927080,0,4420,337,Bad,3842917,2603689,Home,2,10.51,1
27,Female,Married,2,Graduate,Salaried,Private,6,69334,3435107,0,22862,633,Good,3084664,2015356,Education,20,9.73,1
41,Female,Single,1,Graduate,Salaried,Business,18,145243,1656616,2,24692,530,Bad,4520638,716700,Business,4,14.38,1
29,Female,Single,2,High School,Self Employed,Business,25,213922,2098023,0,580,377,Good,4942368,1315244,Education,20,15.08,1
59,Male,Married,2,Post Graduate,Self Employed,Business,21,83572,815469,4,34913,883,Good,2783535,2618241,Business,2,8.09,1
38,Female,Married,1,Post Graduate,Self Employed,Government,5,78814,1108804,3,26873,650,Bad,3714216,4783183,Car,18,15.79,0
24,Female,Single,4,High School,Salaried,Government,12,137547,364585,3,37754,655,Good,1821799,590825,Business,18,9.95,1
45,Female,Married,4,High School,Salaried,Business,9,25043,829790,2,49337,687,Good,3581812,3344758,Business,16,8.45,1
34,Male,Married,2,Graduate,Salaried,Business,18,251198,1207866,4,1766,533,Good,3043784,356901,Car,23,12.03,0
29,Female,Single,2,High School,Self Employed,Business,30,133479,1061154,1,46893,784,Good,2046419,1183363,Car,15,13.75,1
46,Female,Married,3,Post Graduate,Self Employed,Business,9,219600,3087272,2,24406,818,Good,3578366,444914,Car,17,14.94,1
22,Male,Single,4,High School,Salaried,Private,12,89933,3589826,4,45486,425,Good,2303598,3709780,Car,20,13.6,0
40,Male,Married,1,Graduate,Salaried,Government,16,164083,2143954,1,18192,887,Good,867983,1959115,Personal,26,17.32,1
48,Female,Married,5,High School,Salaried,Business,4,112810,3492306,0,17800,746,Good,711868,3266404,Personal,7,7.22,1
27,Female,Single,5,Post Graduate,Self Employed,Government,20,86624,322752,0,35789,688,Good,392058,4916632,Business,22,17.03,1
28,Female,Single,2,High School,Self Employed,Government,19,265392,1299157,1,5982,686,Bad,3345616,1469168,Personal,19,15.07,1
55,Male,Married,2,High School,Self Employed,Private,6,194451,2624857,2,3644,779,Good,866072,1656183,Car,24,17.3,1
34,Male,Married,5,High School,Self Employed,Business,14,263281,1513490,1,41152,543,Bad,2229712,2792890,Car,11,9.74,1
37,Female,Married,3,Graduate,Salaried,Government,14,103273,394392,4,28601,783,Good,469460,2373076,Personal,16,9.09,1
56,Male,Single,3,Graduate,Self Employed,Private,22,38440,1761407,1,1434,777,Good,2335277,226456,Personal,1,17.96,1
60,Female,Married,3,Graduate,Self Employed,Business,32,100033,3404382,4,43201,553,Good,378995,1808928,Personal,4,11.9,0
24,Female,Single,0,Graduate,Salaried,Business,1,218035,834525,4,41276,460,Good,2293763,1673642,Personal,28,10.0,0
22,Male,Married,1,Post Graduate,Salaried,Government,31,172379,1054455,0,29048,724,Good,85921,1513770,Home,13,15.71,1
26,Female,Married,0,Post Graduate,Salaried,Private,14,207697,1759264,4,15561,430,Good,973247,300061,Home,11,12.91,0
24,Male,Married,2,Graduate,Self Employed,Private,6,168369,3316343,3,46679,453,Good,4536341,4933844,Business,22,13.82,0
49,Male,Married,3,Graduate,Salaried,Private,8,286013,2775887,0,31187,593,Good,705320,112723,Personal,6,7.6,1
38,Female,Married,3,Graduate,Self Employed,Private,27,124544,2563723,0,46249,543,Good,350760,3243192,Home,27,14.32,1
46,Male,Single,5,High School,Salaried,Business,21,133129,2156573,1,49341,532,Good,813577,3669955,Home,30,14.61,1
54,Female,Single,5,Post Graduate,Self Employed,Government,2,262184,1186167,4,46198,845,Good,454376,3289293,Business,20,8.51,0
30,Male,Single,3,High School,Self Employed,Government,1,29097,413637,1,27240,494,Good,1474563,4413632,Home,26,15.19,0
56,Female,Married,4,Graduate,Salaried,Private,21,53760,347177,4,31269,889,Good,2580642,2646086,Personal,5,7.77,1
34,Female,Single,5,Post Graduate,Salaried,Private,24,286735,551693,0,16315,536,Good,1421437,3945137,Business,2,8.03,1
51,Female,Single,1,Graduate,Self Employed,Private,24,138246,3272506,3,3819,665,Good,4463024,1175414,Business,18,13.89,1
35,Male,Married,0,High School,Salaried,Government,31,94960,764728,0,34992,892,Good,2602677,4420850,Business,28,17.4,1
28,Female,Married,1,Post Graduate,Self Employed,Business,6,75304,2820182,2,1769,890,Good,4062890,152750,Car,9,11.86,1
34,Male,Single,5,High School,Salaried,Business,30,119630,1218399,1,45802,788,Bad,62701,4481085,Home,6,8.77,1
43,Male,Single,3,Post Graduate,Self Employed,Private,3,47939,3407198,3,2961,476,Good,524848,4687621,Business,28,15.2,0
60,Male,Single,2,Graduate,Self Employed,Business,32,180769,1653709,1,32098,606,Bad,3123010,2787529,Home,26,13.49,1
41,Male,Single,4,Post Graduate,Salaried,Business,14,187852,1617247,4,4580,539,Bad,3402049,3998729,Car,6,17.71,0
36,Male,Single,5,High School,Self Employed,Government,8,228722,1230654,1,46436,590,Bad,120174,242945,Car,4,8.54,1
38,Female,Single,1,High School,Self Employed,Private,5,121024,2807088,0,8842,478,Good,43442,717565,Business,20,15.45,0
44,Male,Single,2,High School,Self Employed,Business,30,248859,856410,0,26627,798,Bad,3913811,1213145,Business,8,9.87,1
46,Female,Married,5,High School,Self Employed,Private,33,103710,1396800,1,14692,842,Bad,3090455,4846538,Personal,30,17.03,1
45,Female,Single,3,Graduate,Salaried,Private,12,69561,2409712,4,47164,799,Good,1486173,1483738,Business,15,15.67,1
49,Male,Married,3,High School,Self Employed,Business,31,238814,2984627,4,1906,720,Bad,2109025,2678643,Education,17,12.02,1
35,Female,Married,3,Graduate,Self Employed,Government,21,173499,2454536,3,36554,441,Bad,123589,4774918,Home,5,7.49,0
21,Female,Married,3,Post Graduate,Salaried,Business,28,287341,1493705,0,15883,741,Good,2347247,2705787,Business,6,14.52,1
45,Male,Single,5,High School,Salaried,Government,10,277930,1872112,1,30512,327,Good,227066,3778299,Personal,5,12.08,1
27,Female,Single,4,Post Graduate,Self Employed,Business,5,184909,1813647,3,21102,544,Good,2617331,2567360,Car,10,15.78,0
29,Male,Married,4,Post Graduate,Self Employed,Private,4,170128,1346909,2,29913,311,Good,1597714,4134396,Car,5,15.15,1
44,Male,Single,1,Graduate,Self Employed,Government,0,257071,3277490,3,23841,660,Good,2592759,4069156,Education,15,15.23,0
21,Male,Single,5,High School,Salaried,Government,9,115685,254926,2,28599,369,Good,4902765,4582965,Business,2,8.89,1
28,Female,Married,3,Graduate,Self Employed,Private,9,188391,1897658,2,47255,623,Good,4053810,4871125,Education,7,11.8,1
44,Female,Single,4,High School,Self Employed,Business,23,85276,2397694,3,25633,867,Good,4226006,3003954,Personal,11,12.17,1
31,Female,Married,5,Post Graduate,Salaried,Government,6,102860,1188070,0,26695,304,Good,1151185,2847896,Home,1,15.63,1
37,Female,Married,2,Graduate,Self Employed,Business,21,91651,746311,3,15,692,Good,773820,2765488,Personal,14,11.46,1
28,Male,Married,4,High School,Salaried,Business,20,60495,2978179,3,37967,873,Good,4635044,3156652,Education,21,16.52,1
55,Male,Married,4,Post Graduate,Self Employed,Business,21,252033,1423211,0,5391,402,Good,2621139,3651946,Education,6,10.03,1
55,Female,Single,1,Graduate,Salaried,Private,32,177651,497862,0,47987,637,Good,4232819,3192540,Car,16,17.85,1
53,Male,Married,4,Graduate,Self Employed,Business,24,260322,2800504,0,7026,656,Bad,3055773,2188809,Personal,26,7.97,1
25,Female,Single,2,Graduate,Self Employed,Private,30,113595,1262821,0,30177,656,Good,3691477,2945819,Home,17,12.47,1
59,Male,Single,3,Graduate,Salaried,Government,15,231228,1646013,0,11347,417,Bad,1656418,2816533,Car,26,13.48,1
48,Male,Single,0,Post Graduate,Salaried,Business,14,174074,2296033,0,33933,407,Good,4899993,179653,Home,7,11.87,1
27,Male,Single,1,Post Graduate,Self Employed,Government,28,88479,2266776,3,21113,568,Good,1154454,3112705,Business,16,13.03,0
29,Male,Married,2,Post Graduate,Salaried,Business,18,249681,1497286,1,30522,687,Good,2849357,494168,Education,1,15.56,1
28,Male,Married,1,Post Graduate,Salaried,Government,16,143736,1724056,1,2749,308,Good,2974268,2409971,Home,15,8.87,1
32,Female,Married,5,High School,Salaried,Private,25,88477,417985,1,39641,588,Good,3487919,265945,Personal,4,17.43,1
54,Female,Married,3,Post Graduate,Self Employed,Government,34,49444,1652889,3,10689,347,Good,1747972,4729305,Car,6,11.32,0
53,Male,Married,4,Graduate,Self Employed,Government,22,214782,324975,0,40636,636,Good,4940739,2814883,Education,19,13.85,1
43,Female,Single,5,Graduate,Salaried,Business,8,240440,3003113,2,43224,720,Good,1964775,847422,Car,6,11.86,1
44,Male,Married,4,Graduate,Salaried,Business,33,211266,1004086,0,40210,760,Good,2754620,509752,Business,30,13.59,1
57,Male,Single,2,Graduate,Salaried,Business,17,186634,3411309,4,15853,477,Good,699793,1142872,Car,3,14.97,0
55,Male,Single,3,High School,Self Employed,Business,15,222106,856578,0,31615,747,Good,1667859,3709011,Home,13,12.58,1
60,Male,Married,0,Graduate,Salaried,Private,31,266241,1865482,1,41680,554,Bad,3200025,150324,Car,25,8.23,1
42,Female,Single,0,Graduate,Salaried,Government,27,232590,2533482,0,18973,662,Good,3596255,1197799,Car,17,10.67,1
47,Male,Single,4,Graduate,Self Employed,Government,31,170883,1259540,0,30804,407,Good,1814436,3467549,Business,16,15.85,1
55,Female,Married,5,Post Graduate,Salaried,Private,17,134048,1775018,4,29987,627,Good,4405289,4670743,Home,30,13.27,0
21,Male,Married,3,Post Graduate,Self Employed,Government,33,86728,685443,2,2727,741,Good,4098978,2289088,Car,10,15.34,1
55,Male,Married,3,High School,Self Employed,Business,28,57093,587460,2,17069,730,Good,4809665,1391673,Business,4,16.77,1
57,Female,Single,2,High School,Salaried,Business,20,54285,2328133,1,20936,374,Good,4455180,4429828,Car,13,11.83,1
34,Male,Married,5,High School,Self Employed,Business,0,280289,2706581,2,21713,721,Good,1159718,905409,Home,18,10.88,1
23,Male,Married,0,Graduate,Self Employed,Government,15,275660,1193702,1,2775,795,Good,2269320,2732957,Personal,10,8.23,1
21,Female,Single,2,High School,Self Employed,Private,32,132563,1110349,3,36950,838,Good,3790904,356151,Car,20,9.98,1
25,Female,Married,1,Post Graduate,Self Employed,Private,20,103219,2883605,4,6585,401,Bad,1278990,3026423,Car,5,11.64,0
46,Female,Single,3,Post Graduate,Salaried,Government,34,40476,525455,0,38219,592,Good,2325537,2058889,Personal,4,8.45,0
34,Male,Single,0,Post Graduate,Self Employed,Private,26,148214,1212963,4,10977,341,Bad,4096775,3237921,Personal,28,8.24,0
59,Male,Married,2,Graduate,Salaried,Private,19,296681,3290161,2,9881,335,Good,1353892,1786367,Personal,8,11.9,1
47,Female,Single,4,Graduate,Self Employed,Business,30,49563,657337,0,5316,660,Bad,2047080,1488845,Car,24,11.1,1
29,Female,Single,1,High School,Self Employed,Government,15,116831,1981398,4,6230,698,Bad,3592530,2085251,Personal,15,16.31,1
35,Male,Married,2,High School,Salaried,Private,13,30911,3282682,4,43185,360,Bad,2355230,2851905,Car,2,7.31,0
35,Male,Married,4,High School,Self Employed,Government,31,135773,1519154,1,4973,446,Bad,358154,446611,Car,12,15.39,1
46,Female,Married,0,High School,Salaried,Business,31,39588,2648013,3,13902,888,Bad,479730,4111146,Education,24,9.29,0
33,Female,Single,0,Graduate,Self Employed,Business,1,226967,583476,4,42527,690,Good,3382942,145895,Home,26,16.67,0
52,Female,Single,1,Post Graduate,Self Employed,Private,21,127676,1668457,0,49337,744,Bad,1710437,4272585,Home,10,10.12,1
